artist_name,num_songs,tempo,loudness,energy
A Hawk and a Hacksaw,3,120.49466666666666,-12.755666666666665,0.38066666666666665
A Kid Hereafter,1,102.784,-4.954,0.875
A Life Once Lost,6,136.953,-4.376,0.9135
A Man Called Adam,1,94.404,-12.842,0.516
A Perfect Circle,24,132.21608333333333,-9.150208333333333,0.6426791666666667
A Place to Bury Strangers,16,133.4288125,-4.7078125,0.780875
A Plea for Purging,3,126.947,-3.1156666666666664,0.9906666666666667
A R I Z O N A,1,105.945,-8.587,0.647
A Rocket to the Moon,2,151.457,-2.9595000000000002,0.765
A Silver Mt. Zion,12,101.16125,-13.45275,0.33433333333333337
A Skylit Drive,17,126.87405882352941,-4.292470588235294,0.8750588235294118
A Static Lullaby,2,151.337,-3.378,0.967
A Storm of Light,1,80.032,-8.434,0.788
A Sunny Day In Glasgow,12,122.93691666666666,-7.500916666666666,0.7559166666666667
A Taste Of Honey,1,124.9,-10.697,0.573
A Tribe Called Quest,32,99.15321875,-11.13275,0.5099375
A Veil of Water,3,146.226,-12.511333333333333,0.29033333333333333
A Wilhelm Scream,2,105.318,-5.0085,0.9530000000000001
A$AP Ferg,1,170.073,-5.489,0.845
A$AP Rocky,4,113.20124999999999,-7.5302500000000006,0.67675
A*Teens,1,126.612,-1.933,0.988
A.A. Bondy,4,141.86925,-12.75925,0.417
ABBA,41,126.37468292682927,-8.338560975609758,0.6651902439024391
ABC,6,122.00349999999999,-8.3615,0.7648333333333334
AC Slater,1,139.936,-9.132,0.607
AC/DC,47,127.07265957446809,-4.988914893617022,0.8191702127659574
ACIDMAN,1,200.35,-6.811,0.693
AFI,34,136.5800882352941,-5.395176470588235,0.8458241264705881
AFX,6,162.04066666666668,-8.445333333333332,0.919
AKB48,1,132.038,-3.508,0.865
ALL CAPS,1,130.032,-3.764,0.962
ANBB,1,124.972,-13.329,0.246
ASD,1,102.58,-5.487,0.926
ASHES dIVIDE,7,125.11971428571428,-6.090142857142857,0.7901428571428571
ASIAN KUNG-FU GENERATION,3,137.48533333333333,-5.747333333333334,0.7843333333333332
ASP,4,94.01050000000001,-4.95825,0.832
ATB,30,133.41966666666667,-7.8408,0.7922333333333333
ATB pres. Flanders,1,130.986,-6.092,0.798
Aaliyah,4,104.98075,-6.37675,0.57575
Aaron,2,103.096,-10.182500000000001,0.5225
Aaron Ackerson,1,149.991,-8.942,0.8
Aaron Copland,2,108.70500000000001,-22.4075,0.04505
Aaron Neville,2,171.1035,-11.336,0.4645
Aaron Tippin,2,99.9225,-6.3065,0.728
Abacabb,1,148.014,-4.947,0.961
Abakus,1,123.019,-13.95,0.756
Abbey Lincoln,1,85.358,-15.118,0.204
Abe Vigoda,2,100.637,-11.5385,0.5445
Abel Korzeniowski,3,84.891,-15.159,0.21999999999999997
Abfahrt Hinwil,1,108.004,-8.894,0.851
Abigail Williams,2,128.07850000000002,-3.1310000000000002,0.9505
Abney Park,2,133.5015,-6.538,0.796
Aborted,30,112.60353333333333,-5.207766666666667,0.9394666666666667
Above & Beyond,10,138.65910000000002,-10.0629,0.6484
Above & Beyond pres. Tranquility Base,1,137.778,-8.027,0.975
Absu,3,111.93966666666665,-11.588,0.5203366666666667
Absurd Minds,3,117.657,-7.018999999999999,0.8613333333333334
Accept,8,134.464125,-10.075,0.833875
Acceptance,6,143.07883333333334,-4.041333333333333,0.8758333333333334
Access to Arasaka,2,101.5745,-11.426,0.884
Acda en de Munnik,2,102.39699999999999,-10.122,0.4355
Ace Frehley,1,95.083,-8.586,0.56
Ace Hood,2,118.583,-5.6,0.721
Ace of Base,15,109.27966666666666,-8.0618,0.8228666666666666
Aceyalone,1,127.257,-9.377,0.606
Achillea,2,139.70250000000001,-13.2565,0.429
Acid Bath,18,113.88866666666667,-6.883444444444445,0.8121111111111111
Acid House Kings,2,124.999,-7.684000000000001,0.6875
Acid King,11,118.658,-9.363363636363637,0.6439090909090909
Across Five Aprils,2,76.786,-8.8645,0.6285000000000001
Action Bronson,1,93.649,-4.031,0.851
Active Child,3,124.79866666666668,-8.212,0.5950000000000001
Active Sight,1,138.005,-10.314,0.84
Actress,9,124.33344444444444,-13.45711111111111,0.45098888888888883
Adam Ant,1,95.775,-10.383,0.895
Adam F,1,171.33,-4.317,0.988
Adam Green,6,132.24633333333333,-5.874,0.6903333333333334
Adam Johnson,1,120.002,-8.546,0.93
Adam Lambert,10,116.40429999999999,-5.2934,0.7985
Adam Steffey,2,164.99450000000002,-9.75,0.7110000000000001
Adam and the Ants,2,112.18700000000001,-7.205500000000001,0.8125
Add N To (X),1,134.956,-3.299,0.976
Adele,21,118.27957142857143,-7.592190476190477,0.499952380952381
Adelitas Way,3,139.98666666666668,-4.140666666666667,0.902
Adema,22,126.34854545454546,-4.343818181818182,0.9308181818181819
Adept,2,93.02000000000001,-5.5115,0.8825000000000001
Adiemus,2,119.0275,-11.4275,0.384
Adolescents,7,120.47857142857143,-6.190714285714286,0.9534285714285714
Adolphson & Falk,1,160.871,-7.877,0.686
Adriana Calcanhotto,2,128.925,-11.5695,0.354
Adversus,2,119.851,-11.045,0.7325
Aemen,2,93.905,-6.9990000000000006,0.606
Aereogramme,4,110.0025,-9.030750000000001,0.52125
Aeroc,1,180.025,-7.155,0.953
Aerosmith,62,128.0969516129032,-6.926129032258065,0.8153387096774194
Aes Dana,3,74.99266666666666,-19.900333333333336,0.368821
Aesma Daeva,1,82.47,-4.959,0.878
Aesop Rock,9,106.31977777777779,-8.07288888888889,0.7127777777777777
Aesthetic Perfection,6,118.34716666666667,-6.497333333333333,0.8703333333333333
Afghan Whigs,3,116.87733333333334,-7.030666666666666,0.743
Afrika Bambaataa,1,129.808,-4.21,0.961
Afro Celt Sound System,3,127.33,-6.521333333333334,0.8096666666666666
Afrojack,2,126.4975,-5.076499999999999,0.8255
Afromental,2,127.489,-5.9415,0.652
After Forever,13,135.51084615384616,-5.074923076923077,0.8623846153846154
After the Burial,6,102.21833333333332,-3.9293333333333336,0.9476666666666667
Afterlife,1,174.003,-11.372,0.504
Against All Authority,2,135.4005,-3.5465,0.9695
Against Me!,5,125.0616,-3.8986000000000005,0.8210000000000001
Agalloch,2,131.5,-7.3035,0.6905
Agathodaimon,2,155.511,-6.159,0.8955
Agent Alvin,1,175.024,-5.309,0.951
Agent Orange,2,104.17,-6.944,0.935
Agnelli & Nelson,1,129.983,-11.522,0.56
Agnes,2,125.95,-5.074999999999999,0.7585
Agnes Obel,5,143.7974,-16.6054,0.14684
