artist_name,total_artist_plays,artist_song_count
Bloodhound Gang,40983,22
Blouse,7260,2
Blu,63,1
Blue,48,1
Blue Cheer,406,1
Blue Foundation,2859,6
Blue Man Group,2810,7
Blue October,2373,3
Blue Rodeo,27,4
Blue Six,380,2
Blue States,246,3
Blue Öyster Cult,4599,6
Blues Image,1872,1
Blues Pills,8,1
Blues Traveler,1947,2
Bluetech,244,2
Blur,36057,40
Blutengel,1133,12
Blümchen,36,1
Bo Diddley,88,3
Bo Kaspers Orkester,7651,1
BoBmo,56,1
Boards of Canada,20596,25
Bob B. Soxx & The Blue Jeans,6,1
Bob Dylan,6626,36
Bob Marley & The Wailers,5818,25
Bob Sinclar,12,1
Bob Welch,3091,1
Bobbi Humphrey,1062,1
Bobby Brown,3454,1
Bobby Darin,81,2
Bobby Hill,27,1
Bobby Hughes Combination,15,1
Bobby McFerrin,16272,1
Bobby Vinton,1,1
Body Count,63,1
Bodyjar,158,1
Bohren & der Club of Gore,24916,18
Bola,338,14
Bolt Thrower,1587,13
Bomb the Bass,689,1
Bomba Estéreo,89,1
Bombay Bicycle Club,3525,5
Bombay Dub Orchestra,78,1
Bombino,14,1
Bomfunk MC's,2872,1
Bon Iver,139929,11
Bon Jovi,5142,11
Bond,11609,6
Bone Thugs-N-Harmony,288,1
Boney M.,108,1
Bong-Ra,526,3
Bongripper,84,1
Bongzilla,174,7
Bonnie Somerville,2177,1
Bonnie Tyler,986,2
Bonobo,26090,23
Booka Shade,12625,21
Boom Bip,480,3
Boom Boom Satellites,416,4
Bootsy Collins,11731,2
Boozoo Bajou,454,5
Borgore,295,2
Boris,252,2
Boris Brejcha,145,5
Boris Gardiner,20,1
Boris Vian,313,1
Borknagar,2354,38
Born Ruffians,3848,5
Born of Osiris,10,3
Bosse,690,7
Bosson,5410,1
Boston,3149,5
Boubacar Traoré,26,1
Bounty Killer,53,2
Bow Wow,8256,1
Bow Wow Wow,17,1
Bowerbirds,4622,3
Bowery Electric,367,2
Bowling for Soup,47,2
Box Car Racer,10317,8
Boxcutter,1019,20
Boy,1515,2
Boy & Bear,38,1
Boyd Rice and Friends,24,1
